Code,State,Age,Both Sexes
22,LA,3-4,133182
22,LA,5-13,674307
22,LA,14,84022
22,LA,15,85323
22,LA,16,85261
22,LA,17,84016
22,LA,18,82277
22,LA,19,83821
22,LA,20,80284
22,LA,21,78582
22,LA,22,74785
22,LA,23,71029
22,LA,24,72516
22,LA,25-29,335813
22,LA,30-34,245118
22,LA,35-44,400864
22,LA,45-54,394669
22,LA,55-59,174338
22,LA,60-61,60271
22,LA,62-64M,41571
22,LA,62-64F,48939
22,LA,65+,367912
23,ME,0-2,45342
23,ME,3-4,32725
23,ME,5-13,171838
23,ME,14,21974
23,ME,15,22177
23,ME,16,21670
23,ME,17,21759
23,ME,18,21432
23,ME,19,20932
23,ME,20,19623
23,ME,21,18544
23,ME,22,18136
23,ME,23,17427
23,ME,24,17549
23,ME,25-29,90732
23,ME,30-34,66822
23,ME,35-44,111945
23,ME,45-54,115343
23,ME,55-59,53914
23,ME,60-61,19650
23,ME,62-64M,13360
23,ME,62-64F,15567
23,ME,65+,129950
24,MD,0-2,151497
24,MD,3-4,118480
24,MD,5-13,670792
24,MD,14,84086
24,MD,15,85690
24,MD,16,83474
24,MD,17,84354
24,MD,18,81863
24,MD,19,82624
24,MD,20,80114
24,MD,21,77655
24,MD,22,75364
24,MD,23,73212
24,MD,24,70743
24,MD,25-29,344226
24,MD,30-34,310486
24,MD,35-44,471863
24,MD,45-54,473126
24,MD,55-59,209071
24,MD,60-61,69901
24,MD,62-64M,45357
24,MD,62-64F,50876
24,MD,65+,355684
25,MA,0-2,199539
25,MA,3-4,149341
25,MA,5-13,868023
25,MA,14,110552
25,MA,15,112410
25,MA,16,109254
25,MA,17,110916
25,MA,18,116235
25,MA,19,119039
25,MA,20,113097
25,MA,21,105798
25,MA,22,101797
25,MA,23,99569
25,MA,24,98403
25,MA,25-29,482326
25,MA,30-34,378970
25,MA,35-44,575240
25,MA,45-54,633452
25,MA,55-59,307306
25,MA,60-61,110566
25,MA,62-64M,70189
25,MA,62-64F,86557
25,MA,65+,685094
26,MI,0-2,398356
26,MI,3-4,290550
26,MI,5-13,1501903
26,MI,14,186523
26,MI,15,192178
26,MI,16,188661
26,MI,17,190786
26,MI,18,188278
26,MI,19,190086
26,MI,20,182692
26,MI,21,173978
26,MI,22,169419
26,MI,23,163393
26,MI,24,162890
26,MI,25-29,769860
26,MI,30-34,597247
26,MI,35-44,931757
26,MI,45-54,993851
26,MI,55-59,445163
26,MI,60-61,156385
26,MI,62-64M,102227
26,MI,62-64F,113621
26,MI,65+,839401
27,MN,0-2,168494
27,MN,3-4,113717
27,MN,5-13,637156
27,MN,14,82753
27,MN,15,85266
27,MN,16,83530
27,MN,17,82491
27,MN,18,80837
27,MN,19,80754
27,MN,20,76816
27,MN,21,73646
27,MN,22,73456
27,MN,23,72269
27,MN,24,72016
27,MN,25-29,333281
27,MN,30-34,259859
27,MN,35-44,399104
27,MN,45-54,391166
27,MN,55-59,182426
27,MN,60-61,68473
27,MN,62-64M,46195
27,MN,62-64F,51470
27,MN,65+,449505
28,MS,0-2,124496
28,MS,3-4,87697
28,MS,5-13,407962
28,MS,14,52032
28,MS,15,52678
28,MS,16,52725
28,MS,17,52788
28,MS,18,51260
28,MS,19,51975
28,MS,20,48760
28,MS,21,46890
28,MS,22,43104
28,MS,23,40267
28,MS,24,41644
28,MS,25-29,192044
28,MS,30-34,137311
28,MS,35-44,237271
28,MS,45-54,232778
28,MS,55-59,109176
28,MS,60-61,39046
28,MS,62-64M,28124
28,MS,62-64F,33655
28,MS,65+,266071
29,MO,0-2,199462
29,MO,3-4,140644
29,MO,5-13,718345
29,MO,14,94720
29,MO,15,97122
29,MO,16,95849
29,MO,17,95247
29,MO,18,95310
29,MO,19,96561
29,MO,20,91196
29,MO,21,86150
29,MO,22,83619
29,MO,23,80662
29,MO,24,80174
29,MO,25-29,384845
29,MO,30-34,301444
29,MO,35-44,499535
29,MO,45-54,516796
29,MO,55-59,241431
29,MO,60-61,89114
29,MO,62-64M,61871
29,MO,62-64F,73218
29,MO,65+,615713
30,MT,0-2,35337
30,MT,3-4,22841
30,MT,5-13,117261
30,MT,14,16209
30,MT,15,16754
30,MT,16,16543
30,MT,17,16223
30,MT,18,14981
30,MT,19,14705
30,MT,20,14079
30,MT,21,13930
30,MT,22,13435
30,MT,23,13026
30,MT,24,13601
30,MT,25-29,65137
30,MT,30-34,48217
30,MT,35-44,79903
30,MT,45-54,76972
30,MT,55-59,37768
30,MT,60-61,13569
30,MT,62-64M,9541
30,MT,62-64F,9964
30,MT,65+,77323
31,NE,0-2,68482
31,NE,3-4,46235
31,NE,5-13,233698
31,NE,14,31190
31,NE,15,31901
31,NE,16,31006
31,NE,17,30814
31,NE,18,30259
31,NE,19,31323
31,NE,20,30344
31,NE,21,28611
31,NE,22,28191
31,NE,23,27193
31,NE,24,27560
31,NE,25-29,128540
31,NE,30-34,93977
31,NE,35-44,155542
31,NE,45-54,158706
31,NE,55-59,72809
31,NE,60-61,27018
31,NE,62-64M,18809
31,NE,62-64F,21572
31,NE,65+,197129
32,NV,0-2,27087
32,NV,3-4,19156
32,NV,5-13,100356
32,NV,14,12465
32,NV,15,12541
32,NV,16,12180
32,NV,17,12146
32,NV,18,11006
32,NV,19,11770
32,NV,20,12085
32,NV,21,11666
32,NV,22,11605
32,NV,23,11173
32,NV,24,10844
32,NV,25-29,54727
32,NV,30-34,52094
32,NV,35-44,81736
32,NV,45-54,73176
32,NV,55-59,33300
32,NV,60-61,11372
32,NV,62-64M,7945
32,NV,62-64F,7927
32,NV,65+,48618
33,NH,0-2,34650
33,NH,3-4,25436
33,NH,5-13,136461
33,NH,14,16620
33,NH,15,16752
33,NH,16,16157
33,NH,17,15722
33,NH,18,16194
33,NH,19,16647
33,NH,20,15361
33,NH,21,14450
33,NH,22,13862
33,NH,23,13226
33,NH,24,14628
33,NH,25-29,76552
33,NH,30-34,57868
33,NH,35-44,88931
33,NH,45-54,87051
33,NH,55-59,40333
33,NH,60-61,14675
33,NH,62-64M,9499
33,NH,62-64F,11428
33,NH,65+,92745
34,NJ,0-2,274354
34,NJ,3-4,200515
