Code,State,Year,Republican Votes,Democrat Votes,Winner
35,NM,1992,212824,261617, BLUE
36,NY,1992,2041690,3346894, BLUE
37,NC,1992,1134661,1114042, RED
38,ND,1992,136244,99168, RED
39,OH,1992,1894310,1984942, BLUE
40,OK,1992,592929,473066, RED
41,OR,1992,475757,621314, BLUE
42,PA,1992,1791841,2239164, BLUE
44,RI,1992,131601,213299, BLUE
45,SC,1992,577507,525514, RED
46,SD,1992,136718,124888, RED
47,TN,1992,841300,933521, BLUE
48,TX,1992,2496071,2281815, RED
49,UT,1992,322632,183429, RED
50,VT,1992,88122,133592, BLUE
51,VA,1992,1150517,1038650, RED
53,WA,1992,731234,993037, BLUE
54,WV,1992,241974,331001, BLUE
55,WI,1992,930855,1041066, BLUE
56,WY,1992,79347,68160, RED
1,AL,1996,769044,662165, RED
2,AK,1996,122746,80380, RED
4,AZ,1996,622073,653288, BLUE
5,AR,1996,325416,475171, BLUE
6,CA,1996,3828381,5119835, BLUE
8,CO,1996,691848,671152, RED
9,CT,1996,483109,735740, BLUE
10,DE,1996,99062,140355, BLUE
11,DC,1996,17339,158220, BLUE
12,FL,1996,2244536,2546870, BLUE
13,GA,1996,1080843,1053849, RED
15,HI,1996,113943,205012, BLUE
16,ID,1996,256595,165443, RED
17,IL,1996,1587021,2341744, BLUE
18,IN,1996,1006693,887424, RED
19,IA,1996,492644,620258, BLUE
20,KS,1996,583245,387659, RED
21,KY,1996,623283,636614, BLUE
22,LA,1996,712586,927837, BLUE
23,ME,1996,186378,312788, BLUE
24,MD,1996,681530,966207, BLUE
25,MA,1996,718058,1571509, BLUE
26,MI,1996,1481212,1989653, BLUE
27,MN,1996,766395,1120380, BLUE
28,MS,1996,439838,394022, RED
29,MO,1996,890016,1025935, BLUE
30,MT,1996,179652,167922, RED
31,NE,1996,363467,236761, RED
32,NV,1996,199244,203974, BLUE
33,NH,1996,196486,246166, BLUE
34,NJ,1996,1103099,1652361, BLUE
35,NM,1996,232751,273495, BLUE
36,NY,1996,1738707,3649630, BLUE
37,NC,1996,1225938,1107849, RED
38,ND,1996,125050,106905, RED
39,OH,1996,1859883,2148222, BLUE
40,OK,1996,582315,488105, RED
41,OR,1996,538152,649641, BLUE
42,PA,1996,1801169,2215819, BLUE
44,RI,1996,104683,233050, BLUE
45,SC,1996,573339,506152, RED
46,SD,1996,150543,139333, RED
47,TN,1996,863530,909146, BLUE
48,TX,1996,2736167,2459683, RED
49,UT,1996,361911,221633, RED
50,VT,1996,80352,137894, BLUE
51,VA,1996,1138350,1091060, RED
53,WA,1996,840712,1123323, BLUE
54,WV,1996,233946,327812, BLUE
55,WI,1996,845029,1071971, BLUE
56,WY,1996,105388,77934, RED
1,AL,2000,941173,692611, RED
2,AK,2000,167398,79004, RED
4,AZ,2000,781652,685341, RED
5,AR,2000,472940,422768, RED
6,CA,2000,4567429,5861203, BLUE
8,CO,2000,883748,738227, RED
9,CT,2000,561094,816015, BLUE
10,DE,2000,137288,180068, BLUE
11,DC,2000,18073,171923, BLUE
12,FL,2000,2912790,2912253, RED
13,GA,2000,1419720,1116230, RED
15,HI,2000,137845,205286, BLUE
16,ID,2000,336937,138637, RED
17,IL,2000,2019421,2589026, BLUE
18,IN,2000,1245836,901980, RED
19,IA,2000,634373,638517, BLUE
20,KS,2000,622332,399276, RED
21,KY,2000,872520,638923, RED
22,LA,2000,927871,792344, RED
23,ME,2000,286616,319951, BLUE
24,MD,2000,813827,1144008, BLUE
25,MA,2000,878502,1616487, BLUE
26,MI,2000,1953139,2170418, BLUE
27,MN,2000,1109659,1168266, BLUE
28,MS,2000,572844,404614, RED
29,MO,2000,1189924,1111138, RED
30,MT,2000,240178,137126, RED
31,NE,2000,433862,231780, RED
32,NV,2000,301575,279978, RED
33,NH,2000,273559,266348, RED
34,NJ,2000,1284173,1788850, BLUE
35,NM,2000,286417,286783, BLUE
36,NY,2000,2258577,3942215, BLUE
37,NC,2000,1631163,1257692, RED
38,ND,2000,174852,95284, RED
39,OH,2000,2350363,2183628, RED
40,OK,2000,744337,474276, RED
41,OR,2000,713577,720342, BLUE
42,PA,2000,2281127,2485967, BLUE
44,RI,2000,130555,249508, BLUE
45,SC,2000,786892,566037, RED
46,SD,2000,190700,118804, RED
47,TN,2000,1061949,981720, RED
48,TX,2000,3799639,2433746, RED
49,UT,2000,515096,203053, RED
50,VT,2000,119775,149022, BLUE
51,VA,2000,1437490,1217290, RED
53,WA,2000,1108864,1247652, BLUE
54,WV,2000,336475,295497, RED
55,WI,2000,1237279,1242987, BLUE
56,WY,2000,147947,60481, RED
1,AL,2004,1176394,693933, RED
2,AK,2004,190889,111025, RED
4,AZ,2004,1104294,893524, RED
5,AR,2004,572898,469953, RED
6,CA,2004,5509826,6745485, BLUE
8,CO,2004,1101255,1001732, RED
9,CT,2004,693826,857488, BLUE
10,DE,2004,171660,200152, BLUE
11,DC,2004,21256,202970, BLUE
12,FL,2004,3964522,3583544, RED
13,GA,2004,1914254,1366149, RED
15,HI,2004,194191,231708, BLUE
16,ID,2004,409235,181098, RED
17,IL,2004,2345946,2891550, BLUE
18,IN,2004,1479438,969011, RED
19,IA,2004,751957,741898, RED
20,KS,2004,736456,434993, RED
21,KY,2004,1069439,712733, RED
22,LA,2004,1102169,820299, RED
23,ME,2004,330201,396842, BLUE
24,MD,2004,1024703,1334493, BLUE
25,MA,2004,1071109,1803800, BLUE
26,MI,2004,2313746,2479183, BLUE
27,MN,2004,1346695,1445014, BLUE
28,MS,2004,672660,457766, RED
29,MO,2004,1455713,1259171, RED
30,MT,2004,266063,173710, RED
31,NE,2004,512814,254328, RED
32,NV,2004,418690,397190, RED
33,NH,2004,331237,340511, BLUE
34,NJ,2004,1670003,1911430, BLUE
35,NM,2004,376930,370942, RED
36,NY,2004,2806993,4180755, BLUE
37,NC,2004,1961166,1525849, RED
38,ND,2004,196651,111052, RED
39,OH,2004,2859764,2741165, RED
40,OK,2004,959792,503966, RED
41,OR,2004,866831,943163, BLUE
42,PA,2004,2793847,2938095, BLUE
44,RI,2004,169046,259760, BLUE
45,SC,2004,937974,661669, RED
46,SD,2004,232584,149244, RED
47,TN,2004,1384375,1036477, RED
48,TX,2004,4526917,2832704, RED
49,UT,2004,663742,241199, RED
50,VT,2004,121180,184067, BLUE
51,VA,2004,1716959,1454742, RED
53,WA,2004,1304894,1510201, BLUE
54,WV,2004,423778,326541, RED
55,WI,2004,1478120,1489504, BLUE
56,WY,2004,167629,70776, RED
1,AL,2008,1266546,813479, RED
2,AK,2008,193841,123594, RED
4,AZ,2008,1230111,1034707, RED
5,AR,2008,638017,422310, RED
6,CA,2008,5011781,8274473, BLUE
8,CO,2008,1073589,1288576, BLUE
9,CT,2008,629428,997772, BLUE
10,DE,2008,152374,255459, BLUE
11,DC,2008,17367,245800, BLUE
12,FL,2008,4045624,4282074, BLUE
13,GA,2008,2048759,1844123, RED
15,HI,2008,120566,325871, BLUE
16,ID,2008,403012,236440, RED
17,IL,2008,2031179,3419348, BLUE
18,IN,2008,1345648,1374039, BLUE
19,IA,2008,682379,828940, BLUE
20,KS,2008,699655,514765, RED
21,KY,2008,1048462,751985, RED
22,LA,2008,1148275,782989, RED
23,ME,2008,295273,421923, BLUE
24,MD,2008,959862,1629467, BLUE
25,MA,2008,1108854,1904097, BLUE
26,MI,2008,2048639,2872579, BLUE
27,MN,2008,1275409,1573354, BLUE
28,MS,2008,724597,554662, RED
29,MO,2008,1445814,1441911, RED
30,MT,2008,242763,231667, RED
31,NE,2008,452979,333319, RED
32,NV,2008,412827,533736, BLUE
33,NH,2008,316534,384826, BLUE
34,NJ,2008,1613207,2215422, BLUE
35,NM,2008,346832,472422, BLUE
36,NY,2008,2418323,4645332, BLUE
37,NC,2008,2128474,2142651, BLUE
38,ND,2008,168601,141278, RED
39,OH,2008,2677820,2940044, BLUE
40,OK,2008,960165,502496, RED
41,OR,2008,738475,1037291, BLUE
42,PA,2008,2655885,3276363, BLUE
44,RI,2008,165391,296571, BLUE
45,SC,2008,1034896,862449, RED
46,SD,2008,203054,170924, RED
47,TN,2008,1479178,1087437, RED
48,TX,2008,4479328,3528633, RED
49,UT,2008,596030,327670, RED
50,VT,2008,98974,219262, BLUE
51,VA,2008,1725005,1959532, BLUE
53,WA,2008,1229216,1750848, BLUE
54,WV,2008,397466,303857, RED
55,WI,2008,1262393,1677211, BLUE
56,WY,2008,164958,82868, RED
1,AL,2012,1255925,795696, RED
2,AK,2012,164676,122640, RED
4,AZ,2012,1233654,1025232, RED
5,AR,2012,647744,394409, RED
6,CA,2012,4839958,7854285, BLUE
8,CO,2012,1185243,1323101, BLUE
9,CT,2012,634892,905083, BLUE
10,DE,2012,165484,242584, BLUE
11,DC,2012,21381,267070, BLUE
12,FL,2012,4163447,4237756, BLUE
13,GA,2012,2078688,1773827, RED
15,HI,2012,121015,306658, BLUE
16,ID,2012,420911,212787, RED
17,IL,2012,2135216,3019512, BLUE
18,IN,2012,1420543,1152887, RED
19,IA,2012,730617,822544, BLUE
20,KS,2012,692634,440726, RED
21,KY,2012,1087190,679370, RED
22,LA,2012,1152262,809141, RED
23,ME,2012,292276,401306, BLUE
24,MD,2012,971869,1677844, BLUE
25,MA,2012,1188314,1921290, BLUE
26,MI,2012,2115256,2564569, BLUE
27,MN,2012,1320225,1546167, BLUE
28,MS,2012,710746,562949, RED
29,MO,2012,1482440,1223796, RED
30,MT,2012,267928,201839, RED
31,NE,2012,475064,302081, RED
32,NV,2012,463567,531373, BLUE
33,NH,2012,329918,369561, BLUE
34,NJ,2012,1478088,2122786, BLUE
35,NM,2012,335788,415335, BLUE
36,NY,2012,2223397,4324228, BLUE
37,NC,2012,2270395,2178391, RED
38,ND,2012,188320,124966, RED
39,OH,2012,2661407,2827621, BLUE
40,OK,2012,891325,443547, RED
41,OR,2012,754175,970488, BLUE
42,PA,2012,2680434,2990274, BLUE
44,RI,2012,157204,279677, BLUE
45,SC,2012,1071645,865941, RED
46,SD,2012,210610,145039, RED
47,TN,2012,1462330,960709, RED
48,TX,2012,4569843,3308124, RED
49,UT,2012,740600,251813, RED
50,VT,2012,92698,199239, BLUE
51,VA,2012,1822522,1971820, BLUE
53,WA,2012,1290670,1755396, BLUE
54,WV,2012,417655,238269, RED
55,WI,2012,1410966,1620985, BLUE
56,WY,2012,170962,69286, RED
1,AL,2016,1318255,729547, RED
2,AK,2016,163387,116454, RED
4,AZ,2016,1252401,1161167, RED
5,AR,2016,684872,380494, RED
6,CA,2016,4483810,8753788, BLUE
8,CO,2016,1202484,1338870, BLUE
9,CT,2016,673215,897572, BLUE
10,DE,2016,185127,235603, BLUE
11,DC,2016,12723,282830, BLUE
12,FL,2016,4617886,4504975, RED
13,GA,2016,2089104,1877963, RED
15,HI,2016,128847,266891, BLUE
16,ID,2016,409055,189765, RED
17,IL,2016,2146015,3090729, BLUE
18,IN,2016,1557286,1033126, RED
19,IA,2016,800983,653669, RED
20,KS,2016,671018,427005, RED
21,KY,2016,1202971,628854, RED
22,LA,2016,1178638,780154, RED
